Atchison County                                                   ,405 Main, PO Box 109, Effingham,KS,66023-0109, 913-833-5450,Fax: 913-833-5450
Barber County                                                            ,118 E. Washington,, Medicine Lodge,KS,67104, 620-886-3971,Fax: 620-886-3972
Barton County                                          ,1800 12th St.,, Great Bend,KS,67530, 620-793-1910,Fax: 620-793-1913
Brown County                                      ,Courthouse, 601 Oregon, Hiawatha,KS,66434-2288, 785-742-7871,Fax: 785-742-4390
Butler County                                   ,206 N Griffith, Suite A, El Dorado,KS,67042-2039, 316-321-9660,Fax: 316-321-2302
Cherokee County                 ,124 W Country Rd, PO Box 148, Columbus,KS,66725-0148, 620-429-3849,Fax: 620-429-2720
Clark County                                        ,913 Highland,, Ashland,KS,67831-0488, 620-635-2811,Fax: 620-635-2244
Coffey County                                                               ,110 S. 6th, PO Box 269, Burlington,KS,66839, 620-364-5313,Fax: 620-364-5117
Comanche County                     ,201 S New York, PO Box 577, Coldwater,KS,67029-0577, 620-582-2411,Fax: 620-582-2426
Cowley County                                    ,Courthouse, 311 E 9th, Winfield,KS,67156, 620-221-5450,Fax: 620-221-5451
Dickinson County                                   ,712 S Buckeye Avenue,, Abilene,KS,67410-3210, 785-263-2001,Fax: 785-263-3624
Doniphan County                      ,PO Box 487, 105 S. Liberty, Troy,KS,66087-0487, 785-985-3623,Fax: 785-985-2858
Douglas County         ,2110 Harper, Douglas County Fair Grounds, Lawrence,KS,66046-3242, 785-843-7058,Fax: 785-843-6745
Edwards County                                 ,212 E 6th St,, Kinsley,KS,67547-1110,620-659-2149,Fax: 620-659-3004
Ellis County                                                  ,601 Main Street, Suite A, Hays,KS,67601, 785-628-9430,Fax: 785-621-2002
Finney County                                                       ,501 S 9th St,, Garden City,KS,67846, 620-272-3670,Fax: 620-272-3576
Cottonwood Falls Office (Chase County)              ,Courthouse Square, PO Box 100, Cottonwood Falls,KS,66845, 620-273-6491,Fax: 620-273-8312
Council Grove Office (Morris County)                        ,Courthouse, 501 W Main, Council Grove,KS,66846-1796, 620-767-5136,Fax: 620-767-5137
Ford County                                                                  ,100 Gunsmoke,, Dodge City,KS,67801, 620-227-4542,Fax: 620-227-4586
Lyndon Office (Osage County)                        ,128 West 15th Street,, Lyndon,KS,66451-0400, 785-828-4438,Fax: 785-828-3427
Ottawa Office (Franklin County)                              ,1418 S Main, Suite 2, Ottawa,KS,66067-3543, 785-229-3520,Fax: 785-229-3527
Garnett Office (Anderson County)                       ,411 S. Oak, PO Box 423, Garnett,KS,66032-0423, 785-448-6826,Fax: 785-448-6153
Geary County                                      ,119 E. 9th PO Box 28,, Junction City,KS,66441-0028, 785-238-4161,Fax: 785-238-7166
Oakley Office (Logan County)                               ,710 W 2nd,, Oakley,KS,67748, 785-671-3245,Fax: 785-671-3246
Wakeeney Office (Trego County)                     ,216 Main Street,, Wakeeney,KS,67672-2189, 785-743-6361,Fax: 785-743-6391
Gove Office (Gove County)                              ,520 Washington, Suite 108, Gove,KS,67736-0158, 785-938-4480,Fax: 785-938-4485
Graham County                             ,410 N Pomeroy, Courthouse, Hill City,KS,67642-1645, 785-421-3411,Fax: 785-421-3412
Grant County                                  ,PO Box 1048, 1100 W. Patterson 1048, Ulysses,KS,67880, 620-356-1721,Fax: 620-356-1076
Gray County                         ,17002 W HWY 50, Box 248, Cimarron,KS,67835-0248, 620-855-3821,Fax: 620-855-2183
Greeley County                           ,1001 Ingalls Avenue, PO Box 578, Tribune,KS,67879, 620-376-4284,Fax: 620-376-2683
Greenwood County                           ,311 N Main - Courthouse,, Eureka,KS,67045-1321, 620-583-7455,Fax: 620-583-8124
Hamilton County                             ,520 N Hamilton, PO Box 629, Syracuse,KS,67878-0629, 620-384-5225,Fax: 620-384-7576
Harper County                                      ,PO Box 275, 819 Central, Harper,KS,67058, 620-842-5445,
Harvey County                                                             ,Courthouse, Box 583, Newton,KS,67114-0583, 316-284-6930,Fax: 316-283-6183
Haskell County             ,503 S. Fairground Rd, PO Box 580, Sublette,KS,67877, 620-675-2261,Fax: 620-675-8142
Hodgeman County    ,Courthouse 1st Fl, 500 Main St. PO Box 38, Jetmore,KS,67854-0038, 620-357-8321,Fax: 620-357-8323
Johnson County                          ,11811 S. Sunset Drive - Suite 1500,, Olathe,KS,66061, 913-715-7000,Fax: 913-715-7005
Kearny County                                                         ,320 S. Main, Suite 110, Greensburg,KS,67054, 620-723-2156,Fax: 620-723-3223
Leavenworth County                                          ,613 Holiday Plaza,, Lansing,KS,66043, 913-364-5700,Fax: 913-364-5704
Lyon County                                               ,2632 W. Highway 50,, Emporia,KS,66801-6353, 620-341-3220,Fax: 620-341-3228
Paola Office (Miami County)                       ,104 S. Brayman,, Paola,KS,66701-1505, 913-294-4306,Fax: 913-294-4301
Marion County                        ,Courthouse Annex, 202 S. 3rd Suite A,Marion,KS,66861, 620-382-2325,Fax: 620-382-5660
Marshall County                                ,1201 Broadway,, Marysville,KS,66508-1844, 785-562-3531,Fax: 785-562-4551
McPherson County                           ,600 W Woodside,, McPherson,KS,67460-3239, 620-241-1523,Fax: 620-241-3407
Meade County                                       ,P.O. Box 369, 407 E Rainbelt, Meade,KS,67864, 620-873-8790,Fax: 620-873-2013
Holton Office (Jackson County)                          ,4th & New York, Court House Room 105, Holton,KS,66436-1791, 785-364-4125,Fax: 785-364-4775
Oskaloosa Office (Jefferson County)                   ,PO Box 326, Courthouse, Oskaloosa,KS,66066-0326, 785-863-2212,Fax: 785-863-3511
Seneca Office (Nemaha County)                    ,1500 Community Dr.,, Seneca,KS,66538, 785-336-2184,Fax: 785-336-6060
Ellsworth Office (Ellsworth County)                           ,Courthouse, 210 N. Kansas, Ellsworth,KS,67439-3118, 785-472-4442,
Russell Office (Russell County)                             ,309 S. Fossil,, Russell,KS,67665, 785-483-3157,
Morton County                                            ,625 Colorado, Box 798, Elkhart,KS,67950-0798, 620-697-2558,Fax: 620-697-4824
Pawnee County                                         ,715 Broadway, Room 6, Larned,KS,67550-3057, 620-285-6901,Fax: 620-285-6497
Phillipsburg Office (Phillips County)                       ,784 Sixth Street,, Phillipsburg,KS ,67661-1915,(785) 543-6845,Fax: 785-543-6846
Stockton Office (Rooks County)                              ,115 N Walnut, P.O. Box 519, Stockton,KS,67669, 785-425-6851,Fax: 785-425-6852
Lincoln Office (Lincoln County)                               ,Courthouse PO Box 8,, Lincoln,KS,67455-2056, 785-524-4432,
Osborne Office (Osborne County)                         ,113 N. 1st,, Osborne,KS,67473, 785-346-2521,
Mankato Office (Jewell County)                           ,307 N. Commercial,, Mankato,KS,66956-2511, 785-378-3174,
Beloit Office (Mitchell County)                     ,115 S Hersey,, Beloit,KS,67420-3230, 785-738-3597,
Smith Center Office (Smith County)                       ,218 S Grant, Courthouse, Smith Center,KS,66967-0287, 785-282-6823,Fax: 785-282-5121
Pottawatomie County                                                     ,PO Box 127, 612 E Campbell, Westmoreland,KS,66549-0127, 785-457-3319,
Pratt County                                                              ,824 W First,, Pratt,KS,67124, 620-672-6121,Fax: 620-672-9566
Rawlins County                                                       ,406 State,, Atwood,KS,67730, 785-626-3192,Fax: 785-626-9086
Reno County                                                                  ,2 W 10th,, South Hutchinson,KS,67505-1331, 620-662-2371,Fax: 620-662-0313
Rice County                                                           ,701 East Main,, Lyons,KS,67554-2122, 620-257-5131,Fax: 620-257-5132
Riley County          ,110 Courthouse Plaza Rm B220,, Manhattan,KS,66502-0111, 785-537-6350,Fax: 785-537-6353
Scott County                           ,Courthouse, 303 Court St, Scott City,KS,67871-1157, 620-872-2930,Fax: 620-872-5357
Sedgwick County                                     ,7001 W 21 St. N,, Wichita,KS,67205-1759, 316-660-0100,Fax: 316-722-1432
Seward County                                         ,1081 Stadium Rd,, Liberal,KS,66604-3095, 620-624-5604,Fax: 620-624-0742
Shawnee County                              ,1740 SW Western Ave.,, Topeka,KS,66733-1301, 785-232-0062,Fax: 785-232-0093
Erie Office (Neosho County) ,100 S. Main - Courthouse,, Erie,KS,66749-0845, 620-244-3826,Fax: 620-244-3829
Iola office (Allen County),1 North Washington St.,, Iola,KS,66701-1393, 620-365-2242,Fax: 620-365-7944
Fort Scott (Bourbon County),210 S National Ave.,, Fort Scott,KS,66701, 620-223-3720,Fax: 620-223-0332
EFNEP Office                                                            ,507 Ivy,, Fort Scott,KS,66701, 620-223-9935,
Smith Center Office (Smith County)                              ,218 S Grant, Courthouse, Smith Center,KS,66967-0287, 785-282-6823,Fax: 785-282-5121
Stafford County                         ,210 E. Third Street, P.O. Box 398, St. John,KS,67576, 620-549-3502,Fax: 620-549-3286
Stanton County                                  ,Courthouse, PO Box L, Johnson,KS,67855-9998, 620-492-2240,Fax: 620-492-1440
Stevens County                                          ,114 E. Fifth Street,, Hugoton,KS,67951-2699, 620-544-4359,Fax: 620-544-4481
Sumner County                                                         ,320 N Jefferson,, Wellington,KS,67152, 620-326-7477,Fax: 620-326-3670
Sharon Springs Office (Wallace County) ,313 Main Street, Courthouse, Sharon Springs,KS,67758-0189, 785- 852-4285,Fax: 785-852-4271
St. Francis Office (Cheyenne County) ,212 E Washington, PO Box 667, St. Francis,KS,67756-0667, 785-332-3171,Fax: 785-332-3199
Goodland Office (Sherman County) ,813 Broadway Rm 301,, Goodland,KS,67735, 785-890-4880,Fax: 785-890-4879
Thomas County                                                    ,350 S Range, Suite #16, Colby,KS,67701-2901, 785-460-4582,Fax: 785-460-4587
Oberlin Office (Decatur County),120 E. Hall,, Oberlin,KS,67749, 785-475-8121,Fax: 785-475-8181
Norton Office (Norton County),107 S. State Street,, Norton,KS,67654-2141, 785-877-5755,Fax: 785-874-4756
Hoxie Office (Sheridan County),9th Street,, Hoxie,KS,67740-0107, 785-675-3268,Fax: 785-677-3269
