lat,long,Category,Source,name,website,address,latlong,Youth Count,Youth Impact,Career Impact,Poverty Impact
41.9556271,-87.6736978,Innovation Center,Innovation Center,Abundant Venture Partners,http://www.abundantventurepartners.com/,4043 North Ravenswood Ave.,41.9556271-87.6736978,489,0.12,0.06,0.06
41.8822787,-87.6363838,Innovation Center,Innovation Center,"Adams Street Partners, LLC",http://www.adamsstreetpartners.com/index.html,One North Wacker Drive,41.8822787-87.6363838,97,0.02,0.06,0.17
41.8898658,-87.6214866,Innovation Center,Innovation Center,Anderson Pacific Corporation,http://andersonpacific.com/,NBC Tower,41.8898658-87.6214866,97,0.02,0.06,0.17
41.8830087,-87.6351499,Innovation Center,Innovation Center,Apex Venture Partners,http://www.apexvc.com/,225 West Washington Street,41.8830087-87.6351499,97,0.02,0.06,0.17
41.985371,-87.845028,Innovation Center,Innovation Center,ARCH Venture Partners,http://www.archventure.com/,8725 W. Higgins Rd.,41.985371-87.845028,329,0.19,0.03,0.15
41.880271,-87.634728,Innovation Center,Innovation Center,Baird Capital,http://www.bairdprivateequity.com/private-equity/baird-venture-partners.aspx,227 West Monroe Street,41.880271-87.634728,97,0.02,0.06,0.17
41.881543,-87.635605,Innovation Center,Innovation Center,Batterson Venture Capital,http://www.battersonvc.com/#&panel1-1,303 W Madison St,41.881543-87.635605,97,0.02,0.06,0.17
42.1601073,-87.8831986,Innovation Center,Innovation Center,Baxter Ventures,http://www.baxter.com/about_baxter/scientific_excellence/baxter_ventures/index.html,One Baxter Parkway,42.1601073-87.8831986,589,0.09,0.14,0.09
41.886379,-87.6235839,Innovation Center,Innovation Center,BlueCross BlueShield Venture Partners,http://www.bcbsvp.com/,225 N. Michigan Avenue,41.886379-87.6235839,97,0.02,0.06,0.17
41.8788515,-87.6364782,Innovation Center,Innovation Center,Capital Strategy Management Company,http://capitalstrategymanagement.com/,233 South Wacker Drive,41.8788515-87.6364782,379,0.07,0.15,0.29
41.8846204,-87.6365384,Innovation Center,Innovation Center,CapX Partners,http://www.capxpartners.com/,155 N Wacker Dr.,41.8846204-87.6365384,97,0.02,0.06,0.17
40.6372267,-89.6621218,Innovation Center,Innovation Center,Central Illinois Angels ,http://www.centralillinoisangels.com/,4300 Entec Dr.,40.6372267-89.6621218,113,0.04,0.01,0.04
