,,,,,,,,,latlong,Career Impact,Poverty Impact
41.9556271,-87.6736978,Innovation Center,Innovation Center,Abundant Venture Partners,http://www.abundantventurepartners.com/,4043 North Ravenswood Ave., Cook County," Illinois""",41.9556271-87.6736978,0.093188011,0.184741144
41.8898658,-87.6214866,Innovation Center,Innovation Center,Anderson Pacific Corporation,http://andersonpacific.com/,NBC Tower, Cook County," Illinois""",41.8898658-87.6214866,0.008399646,0.059681698
41.8830087,-87.6351499,Innovation Center,Innovation Center,Apex Venture Partners,http://www.apexvc.com/,225 West Washington Street, Cook County," Illinois""",41.8830087-87.6351499,0.055748417,0.165407392
41.985371,-87.845028,Innovation Center,Innovation Center,ARCH Venture Partners,http://www.archventure.com/,8725 W. Higgins Rd., Cook County," Illinois""",41.985371-87.845028,0.205290262,0.203651685
41.880271,-87.634728,Innovation Center,Innovation Center,Baird Capital,http://www.bairdprivateequity.com/private-equity/baird-venture-partners.aspx,227 West Monroe Street, Cook County," Illinois""",41.880271-87.634728,0.055748417,0.165407392
41.881543,-87.635605,Innovation Center,Innovation Center,Batterson Venture Capital,http://www.battersonvc.com/#&panel1-1,303 W Madison St, Cook County," Illinois""",41.881543-87.635605,0.055748417,0.165407392
42.1601073,-87.8831986,Innovation Center,Innovation Center,Baxter Ventures,http://www.baxter.com/about_baxter/scientific_excellence/baxter_ventures/index.html,One Baxter Parkway, Lake County," Illinois""",42.1601073-87.8831986,0.027095376,0.031791908
41.886379,-87.6235839,Innovation Center,Innovation Center,BlueCross BlueShield Venture Partners,http://www.bcbsvp.com/,225 N. Michigan Avenue, Cook County," Illinois""",41.886379-87.6235839,0.036187298,0.09698613
41.8788515,-87.6364782,Innovation Center,Innovation Center,Capital Strategy Management Company,http://capitalstrategymanagement.com/,233 South Wacker Drive, Cook County," Illinois""",41.8788515-87.6364782,0.055748417,0.165407392
41.8846204,-87.6365384,Innovation Center,Innovation Center,CapX Partners,http://www.capxpartners.com/,155 N Wacker Dr., Cook County," Illinois""",41.8846204-87.6365384,0.055748417,0.165407392
40.6372267,-89.6621218,Innovation Center,Innovation Center,Central Illinois Angels ,http://www.centralillinoisangels.com/,4300 Entec Dr., Peoria County," Illinois""",40.6372267-89.6621218,0.324938359,0.117118704
42.0458559,-87.6785751,Innovation Center,Innovation Center,Ceres Venture Fund,http://www.ceresventurefund.com/,500 Davis Street, Cook County," Illinois""",42.0458559-87.6785751,0.035991251,0.220123285
41.881543,-87.635605,Innovation Center,Innovation Center,Chicago Growth Partners,http://cgp.com/,303 West Madison, Cook County," Illinois""",41.881543-87.635605,0.055748417,0.165407392
42.114211,-87.878357,Innovation Center,Innovation Center,Cornerstone Angels,http://www.cornerstoneangels.com,2100 Sanders Road, Cook County," Illinois""",42.114211-87.878357,0.091077441,0.046969697
42.114211,-87.878357,Innovation Center,Innovation Center,Independence Equity,http://www.independence-equity.com/,2100 Sanders Road, Cook County," Illinois""",42.114211-87.878357,0.091077441,0.046969697
42.107965,-87.7736008,Innovation Center,Innovation Center,DFJ Portage,http://www.portageventures.com/,One Northfield Plaza, Cook County," Illinois""",42.107965-87.7736008,0.041651706,0.033393178
41.9252396,-87.9434386,Innovation Center,Innovation Center,Duchossois Technology Partners,http://www.duchtech.com/,845 Larch Avenue, DuPage County," Illinois""",41.9252396-87.9434386,0.120839161,0.006993007
41.8766109,-87.628992,Innovation Center,Innovation Center,Dunrath Capital,http://www.dunrath.com/index.asp,407 S. Dearborn St., Cook County," Illinois""",41.8766109-87.628992,0.055748417,0.165407392
41.8883695,-87.6353645,Innovation Center,Innovation Center,Energy Foundry,http://energyfoundry.com/,222 W. Merchandise Mart, Cook County," Illinois""",41.8883695-87.6353645,0.02926964,0.047356068
41.8816418,-87.6365503,Innovation Center,Innovation Center,First Analysis,http://www.firstanalysis.com/,One South Wacker Drive, Cook County," Illinois""",41.8816418-87.6365503,0.055748417,0.165407392
41.888113,-87.630755,Innovation Center,Innovation Center,Foley Ventures,http://www.foley.com/CatapultChicago/,321 North Clark Street, Cook County," Illinois""",41.888113-87.630755,0.059844961,0.063875969
41.88484,-87.6428905,Innovation Center,Innovation Center,Gaebler Ventures,http://www.gaeblervc.com/,156 N. Jefferson Street, Cook County," Illinois""",41.88484-87.6428905,0.047993019,0.058987784
42.025115,-87.760051,Innovation Center,Innovation Center,Heartland Angels,http://www.heartlandangels.com/,5300 Galitz Street, Cook County," Illinois""",42.025115-87.760051,0.10769739,0.225966303
41.8822584,-87.6371982,Innovation Center,Innovation Center,Hopewell Ventures,http://www.hopewellventures.com/,20 North Wacker Drive, Cook County," Illinois""",41.8822584-87.6371982,0.055748417,0.165407392
41.7893998,-87.5963929,Innovation Center,Innovation Center,Hyde Park Angels,http://www.hydeparkangels.com/,Polsky Center for Entrepreneurship, Cook County," Illinois""",41.7893998-87.5963929,0.06576087,0.195108696
41.8830087,-87.6351499,Innovation Center,Innovation Center,Hyde Park Venture Partners,http://www.hydeparkvp.com/,225 W Washington, Cook County," Illinois""",41.8830087-87.6351499,0.055748417,0.165407392
41.8883695,-87.6353645,Innovation Center,Innovation Center,Chicago Ventures,http://www.chicagoventures.com/,222 Merchandise Mart Plaza, Cook County," Illinois""",41.8883695-87.6353645,0.02926964,0.047356068
41.8822584,-87.6371982,Innovation Center,Innovation Center,IllinoisVENTURES,http://www.illinoisventures.com/,20 N. Wacker Drive , Cook County," Illinois""",41.8822584-87.6371982,0.055748417,0.165407392
41.8851542,-87.6223183,Innovation Center,Innovation Center,JK&B Capital,http://www.jkbcapital.com/,Two Prudential Plaza, Cook County," Illinois""",41.8851542-87.6223183,0.036187298,0.09698613
42.143419,-87.7975869,Innovation Center,Innovation Center,Leo Capital Holdings,http://leocapholdings.com/,400 Skokie Blvd., Cook County," Illinois""",42.143419-87.7975869,0.097411548,0.059580334
41.8969173,-87.6435474,Innovation Center,Innovation Center,Lightbank,http://lightbank.com/,600 West Chicago Avenue, Cook County," Illinois""",41.8969173-87.6435474,0.100346021,0.14994233
41.901462,-87.637771,Innovation Center,Innovation Center,Merrick Ventures,http://www.merrickventures.com/,350 N. Orleans Street, Cook County," Illinois""",41.901462-87.637771,0.235678028,0.30964467
42.1323611,-87.7877587,Innovation Center,Innovation Center,MK Capital,http://www.mkcapital.com/,1033 Skokie Blvd, Cook County," Illinois""",42.1323611-87.7877587,0.041651706,0.033393178
42.0672988,-88.0485826,Innovation Center,Innovation Center,Motorola Solutions Venture Capital,http://www.motorolasolutions.com/US-EN/About/Company+Overview/Motorola+Solutions+Venture+Capital,1303 East Algonquin Road, Cook County," Illinois""",42.0672988-88.0485826,0.120794393,0.013785047
41.880469,-87.636437,Innovation Center,Innovation Center,Pritzker Group Venture Capital,http://www.pritzkergroup.com/venture-capital/,111 South Wacker Drive, Cook County," Illinois""",41.880469-87.636437,0.055748417,0.165407392
41.8910249,-87.6323588,Innovation Center,Innovation Center,OCA Ventures,http://www.ocaventures.com/,505 N LaSalle Street, Cook County," Illinois""",41.8910249-87.6323588,0.059844961,0.063875969
42.1323611,-87.7877587,Innovation Center,Innovation Center,Origin Ventures,http://www.originventures.com/,1033 Skokie Blvd., Cook County," Illinois""",42.1323611-87.7877587,0.041651706,0.033393178
42.1497087,-87.8165093,Innovation Center,Innovation Center,Paradigm Group II,http://www.paradigmventure.com/,1535 Lake Cook Rd., Cook County," Illinois""",42.1497087-87.8165093,0.097411548,0.059580334
41.885537,-87.624987,Innovation Center,Innovation Center,Polestar Capital Partners,http://www.polestarvc.com/,180 North Michigan Avenue, Cook County," Illinois""",41.885537-87.624987,0.036187298,0.09698613
42.106326,-87.778972,Innovation Center,Innovation Center,Red Rocket Venture Partners,http://www.redrocketvc.com/,550 Woodland Ln. S., Cook County," Illinois""",42.106326-87.778972,0.041651706,0.033393178
41.8859776,-87.6566872,Innovation Center,Innovation Center,Sandbox Industries,http://www.sandboxindustries.com/,213 North Racine, Cook County," Illinois""",41.8859776-87.6566872,0.041436464,0.119968429
41.8859776,-87.6566872,Innovation Center,Innovation Center,Cultivian Sandbox,http://www.sandboxindustries.com/about/cultivian-sandbox/,213 North Racine, Cook County," Illinois""",41.8859776-87.6566872,0.041436464,0.119968429
41.8904448,-87.6246689,Innovation Center,Innovation Center,Second Century Ventures,http://www.secondcenturyventures.com,430 North Michigan Avenue, Cook County," Illinois""",41.8904448-87.6246689,0.040514776,0.100333651
42.194904,-87.855155,Innovation Center,Innovation Center,Seneca Health Partners,http://www.senecapartners.com/,2201 Waukegan Road, Lake County," Illinois""",42.194904-87.855155,0.041277818,0.015793252
41.890345,-87.623333,Innovation Center,Innovation Center,Tribune Company,http://www.tribune.com/,435 North Michigan Avenue, Cook County," Illinois""",41.890345-87.623333,0.008399646,0.059681698
40.093918,-88.2453098,Innovation Center,Innovation Center,Urbana-Champaign Angel Network,http://www.champaigncountyedc.org/business-services/small-business-services/angel-investing,1817 South Neil Street, Champaign County," Illinois""",40.093918-88.2453098,0.081167735,0.078467769
42.4032967,-71.273513,Innovation Center,Innovation Center,Battery Ventures,http://www.battery.com/index.html,Reservoir Woods, Middlesex County," Massachusetts""",42.4032967-71.273513,0.145887344,0.08814518
39.932391,-86.162898,Innovation Center,Innovation Center,CID CapitalÎ¾,http://www.cidcap.com/pages/venture_overview.asp,201 W. 103rd Street, Hamilton County," Indiana""",39.932391-86.162898,0.117425195,0.030676389
42.2814109,-83.7488929,Innovation Center,Innovation Center,Chrysalis Ventures,http://www.chrysalisventures.com/,115 West Huron Street, Washtenaw County," Michigan""",42.2814109-83.7488929,0.031354236,0.542361574
29.732679,-95.432611,Innovation Center,Innovation Center,DFJ Mercury,http://www.mercuryfund.com/,One Greenway Plaza, Harris County," Texas""",29.732679-95.432611,0.04623862,0.043842837
44.972935,-93.4662724,Innovation Center,Innovation Center,El Dorado Ventures,http://www.eldorado.com/,601 Carlson Parkway, Hennepin County," Minnesota""",44.972935-93.4662724,0.119692308,0.032
39.1004856,-84.5097536,Innovation Center,Innovation Center,River Cities Capital,http://www.rccf.com/,221 East Fourth Street, Hamilton County," Ohio""",39.1004856-84.5097536,0.173790512,0.321277595
42.283566,-83.748468,Innovation Center,Innovation Center,RPM Ventures,http://www.rpmvc.com/,320 N. Main St., Washtenaw County," Michigan""",42.283566-83.748468,0.089552239,0.224295191
35.9927784,-78.9044725,Innovation Center,Innovation Center,Square 1 Bank,http://www.square1financial.com/vcs,406 Blackwell Street, Durham County," North Carolina""",35.9927784-78.9044725,0.106483037,0.157877057
41.901353,-87.751197,Innovation Center,Innovation Center,Entrepreneurship Training Program,http://www.bethelnewlife.org/?page_id=4058,4950 W. Thomas, Cook County," Illinois""",41.901353-87.751197,0.253487873,0.351148315
41.8883695,-87.6353645,Innovation Center,Innovation Center,1871,http://www.1871.com/,222 Merchandise Mart Plaza, Cook County," Illinois""",41.8883695-87.6353645,0.02926964,0.047356068
41.887434,-87.677173,Innovation Center,Innovation Center,Industrial Council of Nearwest Chicago,http://industrialcouncil.com/,320 North Damen Avenue, Cook County," Illinois""",41.887434-87.677173,0.164383562,0.252404547
41.887434,-87.677173,Innovation Center,Innovation Center,Fulton-Carroll Center Incubator,http://industrialcouncil.com/incubator,320 North Damen Avenue, Cook County," Illinois""",41.887434-87.677173,0.164383562,0.252404547
40.6969219,-89.6167038,Innovation Center,Innovation Center,IMEC - Downstate,http://www.imec.org/,1501 W. Bradley Avenue, Peoria County," Illinois""",40.6969219-89.6167038,0.027955737,0.147058824
41.996518,-87.854628,Innovation Center,Innovation Center,IMEC - Chicago Region,http://www.imec.org/,1177 S. Dee Road, Cook County," Illinois""",41.996518-87.854628,0.10927795,0.033579193
41.8648445,-87.8110162,Innovation Center,Innovation Center,The Joseph Center for Business Development,http://www.josephcenter.com/business/,7600 West Roosevelt Road, Cook County," Illinois""",41.8648445-87.8110162,0.15238397,0.090923491
41.6826648,-88.1076534,Innovation Center,Innovation Center,Sivananthan Laboratories,http://www.sivananthanlabs.us/,590 Territorial Drive, Will County," Illinois""",41.6826648-88.1076534,0.094345825,0.033420995
41.8763668,-88.2558945,Innovation Center,Innovation Center,DuPage National Technology Park,http://www.iltechparks.com/DNTP_DUPAGE.aspx,Technology Blvd, DuPage County," Illinois""",41.8763668-88.2558945,0.153530971,0.255483249
41.889424,-87.65376,Innovation Center,Innovation Center,Enerspace,http://www.enerspacechicago.com/,412 North Carpenter Street, Cook County," Illinois""",41.889424-87.65376,0.049558081,0.133838384
42.0290604,-87.7509265,Innovation Center,Innovation Center,Illinois Science + Technology Park,http://www.scienceparkillinois.com/,4901 Searle Parkway, Cook County," Illinois""",42.0290604-87.7509265,0.174839228,0.182609861
41.894746,-87.636625,Innovation Center,Innovation Center,Panzanzee,http://www.panzanzee.com/,325 W. Huron St. , Cook County," Illinois""",41.894746-87.636625,0.02926964,0.047356068
41.8848719,-87.6214393,Innovation Center,Innovation Center,Small Business Membership,http://chicagolandchamber.org/wdk_cc/programs_and_advocacy/small_business_membership_new.jsp,Aon Center, Cook County," Illinois""",41.8848719-87.6214393,0.036187298,0.09698613
