,lat,long,category,source
1,42.085316,-87.69758399999998,park,Google
3,42.0790371,-87.68584849999998,park,Google
4,42.080651,-87.68968000000002,park,Google
5,42.080723,-87.689709,park,Google
6,42.078874,-87.687034,park,Google
7,42.078842,-87.685746,park,Google
10,42.05643,-87.673346,university,Google
11,42.056387,-87.673447,university,Google
15,42.058697,-87.670534,university,Google
31,42.069066,-87.683237,school,Google
32,42.070614,-87.683994,school,Google
39,42.06386,-87.675949,park,Google
41,42.064367,-87.676765,park,Google
42,42.065494,-87.67643199999998,park,Google
43,42.062243,-87.678314,park,Google
46,42.0655556,-87.67629709999999,park,Google
47,42.065584,-87.679582,school,Google
52,42.061684,-87.674338,local_government_office,Google
53,42.061476,-87.677368,university,Google
54,42.059696,-87.675026,university,Google
57,42.057821,-87.677011,school,Google
58,42.057179,-87.674245,university,Google
61,42.061371,-87.678177,university,Google
62,42.060827,-87.678354,university,Google
63,42.059521,-87.67857,school,Google
65,42.057172,-87.678649,cafe,Google
67,42.058662,-87.678169,school,Google
70,42.065455,-87.68401999999998,hospital,Google
111,42.0626508,-87.68554040000002,park,Google
112,42.062548,-87.685575,local_government_office,Google
113,42.062479,-87.685681,park,Google
114,42.06772,-87.69170159999999,park,Google
117,42.064321,-87.686646,local_government_office,Google
123,42.0596863,-87.684154,park,Google
126,42.062083,-87.683925,park,Google
127,42.061656,-87.68635,park,Google
131,42.062397,-87.684524,park,Google
135,42.05913,-87.682179,school,Google
142,42.058353,-87.683137,cafe,Google
145,42.058363,-87.683644,school,Google
149,42.058396,-87.683644,local_government_office,Google
154,42.059524,-87.68406999999998,park,Google
157,42.058999,-87.684661,school,Google
160,42.058365,-87.68419,school,Google
166,42.0615844,-87.68631059999998,park,Google
172,42.052989,-87.673801,library,Google
175,42.053323,-87.67299200000002,university,Google
180,42.050646,-87.671338,university,Google
182,42.052385,-87.671614,university,Google
185,42.051402,-87.673417,university,Google
189,42.0480426,-87.6739859,park,Google
191,42.044635,-87.672762,park,Google
192,42.048018,-87.673958,park,Google
193,42.047029,-87.672426,park,Google
194,42.045146,-87.673898,park,Google
195,42.045516,-87.672347,park,Google
196,42.040877,-87.66976899999997,local_government_office,Google
197,42.039408,-87.66994100000002,park,Google
198,42.0444588,-87.67259920000002,park,Google
200,42.0393036,-87.6699797,park,Google
204,42.056052,-87.675696,school,Google
206,42.05319229999999,-87.67651500000002,park,Google
207,42.054009,-87.676714,school,Google
212,42.053192,-87.67651500000002,park,Google
214,42.055194,-87.681814,local_government_office,Google
218,42.05666400000001,-87.68199200000002,park,Google
222,42.053715,-87.677966,university,Google
224,42.054458,-87.680299,synagogue,Google
229,42.052196,-87.675113,university,Google
230,42.050609,-87.674989,university,Google
231,42.050493,-87.67564899999998,library,Google
233,42.05063300000001,-87.676142,school,Google
234,42.050971,-87.67665600000002,university,Google
236,42.04743670000001,-87.67460229999998,park,Google
237,42.049361,-87.674976,university,Google
238,42.04944,-87.675853,school,Google
257,42.051408,-87.67761999999998,university,Google
258,42.050194,-87.67939399999999,university,Google
261,42.051705,-87.681586,cafe,Google
262,42.051245,-87.680136,university,Google
263,42.050288,-87.681751,university,Google
265,42.050201,-87.681413,park,Google
266,42.049629,-87.678685,hospital,Google
273,42.050101,-87.67987,university,Google
274,42.050068,-87.679772,university,Google
276,42.050013,-87.679863,university,Google
278,42.050107,-87.679889,university,Google
284,42.049287,-87.681626,cafe,Google
291,42.048397,-87.680072,library,Google
310,42.048078,-87.68060600000003,university,Google
324,42.05554,-87.684978,park,Google
336,42.054201,-87.684164,school,Google
343,42.056997,-87.6887752,park,Google
344,42.056725,-87.687238,local_government_office,Google
345,42.056887,-87.687158,local_government_office,Google
347,42.055827,-87.687021,local_government_office,Google
348,42.055944,-87.686826,local_government_office,Google
351,42.055816,-87.687401,local_government_office,Google
352,42.055816,-87.687401,local_government_office,Google
353,42.055816,-87.687401,local_government_office,Google
354,42.055816,-87.687401,local_government_office,Google
355,42.055816,-87.687401,local_government_office,Google
356,42.055816,-87.687401,local_government_office,Google
357,42.057028,-87.688641,park,Google
361,42.054149,-87.68715300000002,park,Google
362,42.054811,-87.687866,local_government_office,Google
363,42.054934,-87.689415,local_government_office,Google
377,42.052231,-87.68300699999998,school,Google
381,42.052214,-87.68304599999998,school,Google
382,42.052204,-87.683047,school,Google
387,42.051105,-87.68220500000002,university,Google
396,42.050964,-87.682644,school,Google
400,42.052662,-87.684505,university,Google
407,42.05116,-87.68527399999998,university,Google
408,42.05116,-87.68527399999998,university,Google
427,42.049569,-87.681983,cafe,Google
494,42.048387,-87.683006,local_government_office,Google
499,42.050252,-87.684561,university,Google
544,42.05238,-87.687075,local_government_office,Google
614,42.047354,-87.67473199999998,park,Google
624,42.044186,-87.677647,park,Google
627,42.047386,-87.677973,school,Google
632,42.047431,-87.678875,cafe,Google
662,42.046154,-87.679141,cafe,Google
703,42.046331,-87.680509,school,Google
741,42.0444441,-87.6795325,park,Google
742,42.044441,-87.679594,park,Google
761,42.045413,-87.681314,school,Google
783,42.039772,-87.673502,park,Google
787,42.04183,-87.67834599999998,park,Google
788,42.041598,-87.67826,school,Google
790,42.041419,-87.67811400000002,school,Google
794,42.043052,-87.68042,school,Google
816,42.041108,-87.680314,cafe,Google
835,42.041092,-87.68122199999998,school,Google
914,42.04678300000001,-87.681967,cafe,Google
1024,42.044533,-87.683643,local_government_office,Google
1033,42.043883,-87.682121,park,Google
1055,42.044016,-87.685156,school,Google
1083,42.046638,-87.689399,school,Google
1084,42.0458792,-87.6893913,park,Google
1086,42.045936,-87.689324,park,Google
1092,42.0438,-87.687154,park,Google
1125,42.042598,-87.68409399999999,university,Google
1152,42.040688,-87.688322,synagogue,Google
1153,42.039771,-87.686711,park,Google
1154,42.036369,-87.669951,park,Google
1160,42.0363689,-87.6701338,park,Google
1165,42.0326577,-87.6701338,park,Google
