companies.name,companies.category_code,companies.description,companies.founded_year,companies.number_of_employees,companies.total_money_raised,city,description,address1,address2,longitude,country_code,latitude,state_code,zip_code
20spokes,consulting,Chicago Development Agency,2012.0,2.0,$0,Chicago,Office,4507 N. Ravenswood Ave.,Ste 103,-87.673581,USA,41.963728,IL,60640
360i,advertising,digital marketing agency,1998.0,425.0,$0,Chicago,Chicago Office,515 North State St,23rd Floor,,USA,,IL,60654
37signals,software,Frustration-free web-based apps,1999.0,20.0,$0,Chicago,,30 North Racine Avenue #200,,-87.6557234,USA,41.8892178,IL,60607
3oclockclub,advertising,multi deal a day website,2009.0,14.0,$0,Chicago,Chicago Office,1336 West Grand Ave,,,USA,,IL,60642
5Degrees,,,,,$0,Chicago,"5Degrees, Inc.","321 N. Clark Ste, Ste 2550",,,USA,,IL,60654
71lbs,analytics,Analyze and Save on Shipping Costs,2011.0,5.0,$450k,Chicago,Office,222 Merchandise Mart Plaza,Suite 1212,-87.63651309999999,USA,41.8883776,FL,60654
7ticks,hardware,,2002.0,,$0,Chicago,,440 North Wells Street,Suite 630,,USA,,IL,60654
A Plumber Now,other,plumbing sewer chicago,1988.0,24.0,$0,Chicago,Chicago Plumbing,3809 w diversey ave,,,USA,,IL,60647
A.T. Kearney,consulting,,1926.0,2500.0,$0,Chicago,HQ,222 West Adams Street,,-87.6348507,USA,41.8794261,IL,60606
AbbVie,biotech,Biopharmaceutical company,2013.0,,$0,Chicago,,1 Waukegan Road North,,-87.8785235,USA,42.2797153,IL,60064
Abe's Market,ecommerce,Online natural product marketplace,2009.0,,$9.08M,Chicago,Headquarters,430 W. Erie st.,Suite 501,,USA,,IL,60654
AblePlay,web,,,,$0,Chicago,,2001 N. Clybourn,,-87.65911700000001,USA,41.917811,IL,60614
Academic Approach,,,2001.0,,$0,Chicago,HQ,342 W Armitage Ave,,,USA,,IL,60614
Academic Capital Exchange,ecommerce,P2P Student Loan Marketplace,2008.0,5.0,$0,Chicago,,226 N. Clinton,,-87.641739,USA,41.886368,IL,60661
Academy of Nutrition and Dietetics,health,,1917.0,,$0,Chicago,,,,-87.62979820000001,USA,41.8781136,IL,
Access One,public_relations,Telecommunications Firm,1993.0,85.0,$0,Chicago,Access One,820 W. Jackson,Suite 650,,USA,,IL,60607
Accolo,consulting,Recruitment Outsourcing,2000.0,,$0,Chicago,Chicago Office,1 South Dearborn,Suite 2130,,USA,,IL,60603
Accretive Health,other,,2003.0,,$0,Chicago,,401 North Michigan Avenue,Suite 2700,,USA,,IL,60611
Accretive Solutions,,,,,$0,Chicago,Corporate Headquarters,311 S. Wacker Drive,Suite 5200,,USA,,,IL 60606
AccuProcess,enterprise,Business Process Modeling Software,2009.0,30.0,$0,Chicago,,,,,USA,,IL,60610
Acosta Law Group,legal,Naturalization Lawyer Chicago,,,$0,Chicago,Office,53 West Jackson Boulevard,Suite 1625,-87.62959000000001,USA,41.8780796,IL,60604
Acquity Group,ecommerce,Digital Services Agency,2001.0,500.0,$0,Chicago,,500 West Madison Street,,-87.639713,USA,41.881876,IL,60606
Actin Web Video,games_video,Web Video Production Company,2003.0,3.0,$0,Chicago,Main Office,500 North Michigan Avenue,Suite 1042,,USA,,IL,60611
ACTIV Financial Systems,software,,2002.0,,$25M,Chicago,,125 South Wacker Drive,Suite 2325,,USA,,IL,60606
ActiveCampaign,software,Email & marketing automation platform.,2003.0,,$0,Chicago,Chicago Office,150 N. Michigan Avenue,Suite 1230,-87.62452370000001,USA,41.8842919,IL,60601
Adap.tv,advertising,video advertising,2006.0,40.0,$48.5M,Chicago,,444 North Wells Street,Suite 402,-87.63419520000001,USA,41.8905404,IL,60654
Addison Group,,,,,$0,Chicago,Chicago Headquarters,"125 S. Wacker Dr., 27th Floor",,,USA,,IL,60606
AddThis,advertising,Content Engagement,2004.0,120.0,$73M,Chicago,Chicago Office,225 West Washington,Ste. 2200,,USA,,IL,60606
Adeptia,software,,2000.0,50.0,$0,Chicago,Office Address,443 North Clark Street,Suite 350,-87.630765,USA,41.890421,IL,60654
AdGent Digital,advertising,Advertising & Social Media,2008.0,30.0,$5.3M,chicago,,,,,USA,,CA,
AdGooroo,,,2004.0,,$0,Chicago,,730 W Randolph,,,USA,,IL,60661
AdoTube,advertising,Video Advertising Management Platform,2007.0,160.0,$1.23M,Chicago,Chicago Office,180 N. Stetson St.,35th Floor,,USA,,IL,60601
Advanced Sports Media,sports,,2004.0,,$0,Chicago,,,,,USA,,IL,
Advantage xPO,,Outsourcing/Offshoring ,2004.0,84.0,$0,Chicago,HQ,20 North Wacker Drive,Suite 2615,,USA,,IL,60606
AdYapper,advertising,Ad Transparency & Analytics,2010.0,,$1.2M,Chicago,600 W. Chicago Ave.,#700,,,USA,,IL,60654
Affinity.com,advertising,Online Advertising,2006.0,140.0,$85M,Chicago,Chicago Office,"HGTN Inc., 100 N Riverside, Suite 800",,-87.6371461,USA,41.8817767,IL,60606
Affinnova,advertising,Marketing Technology and Software,2000.0,200.0,$10.5M,Chicago,,233 South Wacker Drive,â€¨Suite 6225,-87.6364782,USA,41.8788515,IL,
Ageology,health,,2008.0,,$0,Chicago,,150 E Huron St.,Suite 802,-87.623758,USA,41.8949642,IL,60611
AgeStat,security,Online Age Verification,2012.0,,$0,Chicago,Chicago Office,,,,USA,,IL,
AGLOGIC,consulting,Web Design and Consulting Firm,2007.0,15.0,$2.5M,Chicago,Headquarters,,,-87.621589,USA,41.884659,IL,60601
Ai2 Software,software,Sales order entry software,1986.0,25.0,$0,Chicago,Headquarters,180 N. Stetson,Suite 3660,,USA,,IL,60601
AirCast Mobile,mobile,Mobile Media Company,,3.0,$250k,Chicago,AirCast Mobile HQ,,,,USA,,IL,
AirRun,mobile,"\Everyone's Personal Assistant\""""",2010.0,,$0,Chicago,HQ,200 South Wacker Drive,Suite 1900,,USA,,IL,60606
Aisle50,advertising,Daily Grocery Deals,2010.0,12.0,$5.2M,Chicago,Aisle50,648 West Randolph Street,3rd Floor,,USA,,IL,60661
Aleri,software,Complex Event Processing Technology,1999.0,90.0,$0,Chicago,Chicago,"Two Prudential Plaza, 41st Floor",,,USA,,IL,60601
