name,kind,address,phone,website,lat,lng,latlng
Chicago,locality,"Chicago, IL, USA",,,41.8781136,-87.6297982,"(-87.6297982,-87.6297982)"
O'Hare International Airport,airport,"10000 W O'Hare Ave, Chicago, IL 60666, United States",(800) 832-6352,http://www.flychicago.com/ohare/en/home/Pages/default.aspx,41.974162,-87.907321,"(-87.907321,-87.907321)"
Northwestern University,university,"633 Clark Street, Evanston, IL 60208, United States",(847) 491-3741,http://www.northwestern.edu/,42.056459,-87.675267,"(-87.675267,-87.675267)"
United Center,stadium,"1901 West Madison Street, Chicago, IL 60612, United States",(312) 455-4500,http://www.unitedcenter.com/,41.880691,-87.674176,"(-87.674176,-87.674176)"
The Field Museum,museum,"1400 South Lake Shore Drive, Chicago, IL 60605, United States",(312) 922-9410,http://www.fieldmuseum.org/,41.866261,-87.61698,"(-87.61698,-87.61698)"
Illinois Institute of Technology,university,"3300 South Federal Street, Chicago, IL 60616, United States",(312) 567-3000,http://www.iit.edu/,41.834873,-87.627006,"(-87.627006,-87.627006)"
The Art Institute of Chicago,museum,"111 South Michigan Avenue, Chicago, IL 60603, United States",(312) 443-3600,http://www.artic.edu/,41.879584,-87.623713,"(-87.623713,-87.623713)"
Chicago Public Library: Harold Washington Library Center,library,"400 South State Street, Chicago, IL 60605, United States",(312) 747-4300,http://www.chipublib.org/branch/details/library/harold-washington/,41.876297,-87.628228,"(-87.628228,-87.628228)"
Shedd Aquarium,aquarium,"1200 South Lake Shore Drive, Chicago, IL 60605, United States",(312) 939-2438,http://www.sheddaquarium.org/,41.867573,-87.614038,"(-87.614038,-87.614038)"
Soldier Field,stadium,"1410 Museum Campus Drive, Chicago, IL 60605, United States",(312) 235-7000,http://www.soldierfield.net/,41.862313,-87.616688,"(-87.616688,-87.616688)"
The Chicago Theatre,establishment,"175 North State Street, Chicago, IL 60601, United States",(312) 462-6300,http://www.thechicagotheatre.com/,41.8854,-87.627074,"(-87.627074,-87.627074)"
Adler Planetarium,establishment,"1300 South Lake Shore Drive, Chicago, IL 60605, United States",(312) 922-7827,http://www.adlerplanetarium.org/,41.866333,-87.606783,"(-87.606783,-87.606783)"
Wrigley Field,stadium,"1060 West Addison Street, Chicago, IL 60613, United States",(773) 404-2827,http://chicago.cubs.mlb.com/,41.948438,-87.655333,"(-87.655333,-87.655333)"
Lincoln Park,park,"500-5700 North Lake Shore Drive, Chicago, IL 60614, United States",(312) 742-7726,http://www.chicagoparkdistrict.com/parks/lincoln-park/,41.928207,-87.635705,"(-87.635705,-87.635705)"
Lincoln Park Zoo,zoo,"2001 North Clark Street, Chicago, IL 60614, United States",(312) 742-2000,http://www.lpzoo.org/,41.92089,-87.632917,"(-87.632917,-87.632917)"
Millennium Park,park,"201 East Randolph Street, Chicago, IL 60602, United States",(312) 742-1168,http://www.cityofchicago.org/city/en/depts/dca/supp_info/millennium_park.html,41.882552,-87.622551,"(-87.622551,-87.622551)"
Allstate Arena,establishment,"6920 N. Mannheim Road, Rosemont, IL 60018, United States",(847) 635-6601,http://www.allstatearena.com/,42.005258,-87.88783,"(-87.88783,-87.88783)"
Northeastern Illinois University,university,"5500 North Saint Louis Avenue, Chicago, IL 60625, United States",(773) 583-4050,http://www.neiu.edu/,41.980979,-87.719092,"(-87.719092,-87.719092)"
Chicago State University,university,"9501 South King Drive, Chicago, IL 60628, United States",(773) 995-2000,http://www.csu.edu/,41.718485,-87.611232,"(-87.611232,-87.611232)"
Oakbrook Center,shopping_mall,"100 Oakbrook Center, Oak Brook, IL 60523, United States",(630) 573-0700,http://www.oakbrookcenter.com/,41.848278,-87.952434,"(-87.952434,-87.952434)"
