id,type,mc_account_id,approved,name,logo_image,hidden,email,address,address2,city,state_id,zip,created,updated,deleted_date,user_access_id,resource_name,suite,lat,lng,contact_name,contact_phone,website,youtube_video_url,html_description,short_desc,mc_account_listings_resources_ids,mc_account_listings_sectors_ids,additional_institutions,institution_name,state,online_only,region_facet,funding_facet,physical_space_facet,facilities_facet,nonprofit_facet,professional_services_facet,other_facet,sectors_facet,all_sectors,additional_info,template_file,css_file,meta_description,meta_title,meta_keywords
1,1,,No,Abundant Venture Partners,filebin/avp-logo.png,No,,4043 North Ravenswood Ave.,,Chicago,13,60613,5/14/13 14:33,12/3/14 15:34,0000-00-00 00:00:00,26,Abundant Venture Partners,Suite 306,41.9556271,-87.6736978,,,http://www.abundantventurepartners.com/,,"<p>Abundant Venture Partners is a purpose based incubator focused on service based companies in media and healthcare. The partnership was formed with core beliefs that drive our actions and investment: It is still possible to do well while doing good; if it is big enough to care, it is big enough to share; we are accountable to ourselves, one another, and for the world around us; diverse perspectives with shared purpose is the best way to create value. We seek to create or invest in early stage companies that share our values and beliefs.</p>",,,,,,IL,No,,Venture Capital,,,,,,"Healthcare and Medical Devices,Telecommunications",,"----------------------------------------------
Resource Claimed
2014-03-24 15:08:30
David Machajewski --> http://www.illinoisinnovation.com/mightysite/edit_record.php?tablename=mc_account&id=14
----------------------------------------------
----------------------------------------------
Resource Claimed
2013-08-06 11:33:59
David Machajewski --> http://www.illinoisinnovation.com/mightysite/edit_record.php?tablename=mc_account&id=14
----------------------------------------------
----------------------------------------------
Resource Claimed
2013-08-05 10:16:41
David Machajewski --> http://www.illinoisinnovation.com/mightysite/edit_record.php?tablename=mc_account&id=14
----------------------------------------------
----------------------------------------------
Resource Claimed
2013-07-01 10:59:25
David Machajewski --> http://www.illinoisinnovation.com/mightysite/edit_record.php?tablename=mc_account&id=14
----------------------------------------------
",template.php,default.css,,,
2,2,,No,"Adams Street Partners, LLC",filebin/adams_street.jpg,No,,One North Wacker Drive,,Chicago,13,60606-2823,5/14/13 14:33,12/3/14 15:54,0000-00-00 00:00:00,26,"Adams Street Partners, LLC",Suite 2200,41.8822787,-87.6363838,,312-553-7890,http://www.adamsstreetpartners.com/index.html,,"<p>Adams Street Partners is an employee-owned private equity firm with the goal of generating exceptional investment returns. Adams Street Partners operates as one cohesive global team, integrating expertise in three disciplines: primary, secondary and direct investments. Adams Street Partners manages over $22 billion of committed capital for institutional investors. With a globally integrated investment platform, we are committed to understanding the entire private equity landscape and accessing the most attractive investment opportunities.</p>",,,,,"Adams Street Partners, LLC",IL,No,,"Venture Capital,Private Equity",,,,,,"Clean Tech/Alternative Energy,Biotech and Life Sciences,Healthcare and Medical Devices",,,template.php,default.css,,,
3,3,,No,Anderson Pacific Corporation,filebin/anderson_pacific.png,No,,NBC Tower,455 N. Cityfront Plaza Dr.,Chicago,13,60611,5/14/13 14:33,12/3/14 16:03,0000-00-00 00:00:00,26,Anderson Pacific Corporation,Suite 2755,41.8898658,-87.6214866,,312-951-8500,http://andersonpacific.com/,,"<p>Anderson Pacific Corporation (APC) is a Chicago-based private investment firm specializing in the media and telecommunications industry. The firm is founded by Kenneth D. Anderson, a principal in numerous equity transactions since the late 1970s. Anderson is assisted by a team of inside and outside professionals with extensive experience in private equity, venture capital, management, accounting and law. While participants in several non-telecom industry transactions in the past, the firm has extensive experience in media and telecommunications.</p>",,,,,Anderson Pacific Corporation,IL,No,,"Venture Capital,Private Equity",,,,,,Telecommunications,,,template.php,default.css,,,APC
4,1,,No,Apex Venture Partners,filebin/apex_logo.gif,No,,225 West Washington Street,,Chicago,13,60606,5/14/13 14:33,12/3/14 16:26,0000-00-00 00:00:00,26,Apex Venture Partners,Suite 1500,41.8830087,-87.6351499,,312-857-2800,http://www.apexvc.com/,,"<p>Apex Venture Partners, established in 1987, is one of the oldest venture capital firms in Mid-America. The firm has invested in over 150 companies throughout the United States. Apex's guiding investment philosophy is to provide exceptional returns for our investors by partnering with entrepreneurs and executives to build significant value in their companies.</p>",,,,,Apex Venture Partners,IL,No,,Venture Capital,,,,,,"Clean Tech/Alternative Energy,IT/Digital/Web-Mobile",,,template.php,default.css,,,
5,2,,No,ARCH Venture Partners,filebin/archlogo_web.gif,No,,8725 W. Higgins Rd.,,Chicago,13,60631,5/14/13 14:33,12/3/14 16:07,0000-00-00 00:00:00,26,ARCH Venture Partners,Suite 290,41.985371,-87.845028,,773-380-6600,http://www.archventure.com/,,"<p>ARCH Venture Partners invests in the development of seed and early stage advanced technology companies that have the potential to grow rapidly into successful businesses. We invest primarily in companies we co-found with leading scientists and entrepreneurs, concentrating on bringing to market disruptive innovations in life sciences, physical sciences and information technology, and specialize in the spaces where they converge. We enjoy special recognition as a leader in the successful commercialization of technologies developed at academic research institutions, corporate research groups and national laboratories.</p>",,,,,ARCH Venture Partners,IL,No,,Venture Capital,,,,,,"Clean Tech/Alternative Energy,IT/Digital/Web-Mobile,Biotech and Life Sciences,Healthcare and Medical Devices,Nanotechnology",,,template.php,default.css,,,
6,3,,No,Baird Venture Partners,filebin/baird_logo_2036.gif,No,,227 West Monroe Street,,Chicago,13,60606,5/14/13 14:33,12/3/14 16:13,0000-00-00 00:00:00,26,Baird Capital,Suite 1900,41.880271,-87.634728,,888-792-0477,http://www.bairdprivateequity.com/private-equity/baird-venture-partners.aspx,,"<p>Baird Venture Partners makes investments in early- and expansion-stage companies in the Business Services and Healthcare/Life Sciences sectors. We employ a thesis-driven approach to investing that allows us to gain insight on industry-changing trends and identify emerging, next-generation business models. We invest in companies where our expertise, capital and broad network of resources complement management&rsquo;s objectives and strategy.</p>",,,,,,IL,No,,"Venture Capital,Private Equity",,,,,,"Biotech and Life Sciences,Healthcare and Medical Devices",,,template.php,default.css,,,
7,1,,No,Batterson Venture Capital,filebin/Batterson-Venture-Capital.gif,No,,303 W Madison St,,Chicago,13,60606,5/14/13 14:33,12/3/14 16:14,0000-00-00 00:00:00,26,Batterson Venture Capital,,41.881543,-87.635605,,312-269-0300,http://www.battersonvc.com/#&panel1-1,,"<p>Batterson Venture Capital, LLC's goal is to create a collaborative relationship with entrepreneurs built on a foundation of mutual partnership and trust. This foundation is the cornerstone upon which our successes are built from and true innovation continues to thrive. BVC&rsquo;s objective is to consistently deliver compelling venture capital investment opportunities to high-net-worth investors.</p>",,,,,Batterson Venture Capital,IL,No,,Venture Capital,,,,,,"Clean Tech/Alternative Energy,IT/Digital/Web-Mobile,Biotech and Life Sciences,Healthcare and Medical Devices,Telecommunications",,"----------------------------------------------
Resource Claimed
2014-09-29 11:36:14
Gary Lindley jr --> http://www.illinoisinnovation.com/mightysite/edit_record.php?tablename=mc_account&id=140
----------------------------------------------
",template.php,default.css,,,BVC
8,1,,No,Baxter Ventures,,No,,One Baxter Parkway,,Deerfield,13,60015-4625,5/14/13 14:33,5/24/13 17:02,0000-00-00 00:00:00,21,Baxter Ventures,,42.1601073,-87.8831986,,,http://www.baxter.com/about_baxter/scientific_excellence/baxter_ventures/index.html,,"Baxter Ventures identifies companies with promising, early-stage technologies, products and/or therapies, and provides them with the capital and expertise needed to drive successful innovation. Baxter Ventures was created in 2011 by Baxter International Inc., which has an 80-year legacy of healthcare innovation and saving and sustaining lives worldwide.",,,,,Baxter Ventures,IL,No,,Venture Capital,,,,,,"Biotech and Life Sciences,Healthcare and Medical Devices",,,template.php,default.css,,,
9,1,,No,BlueCross BlueShield Venture Partners,filebin/BCBS_logo.jpg,No,,225 N. Michigan Avenue,,Chicago,13,60601,5/14/13 14:33,12/3/14 16:48,0000-00-00 00:00:00,26,BlueCross BlueShield Venture Partners,,41.886379,-87.6235839,,,http://www.bcbsvp.com/,,"<p>BlueCross BlueShield Venture Partners, L.P. manages $300 million in capital across two funds. It is sponsored by the Blue Cross and Blue Shield Association, an association of independent Blue Cross and Blue Shield companies. The fund is backed by 24 individual Blue Entities and invests in promising emerging companies of strategic relevance to Blue Cross and Blue Shield Plans. Through an exclusive arrangement, management of the Fund is shared between participating Blue Plans, the Blue Cross and Blue Shield Association, and Sandbox Industries.</p>",,,,,BlueCross BlueShield Venture Partners,IL,No,,Venture Capital,,,,,,"IT/Digital/Web-Mobile,Healthcare and Medical Devices",,,template.php,default.css,,,
10,1,ec681f1b5425c45bf05a35d4104f162df9b7b0c4,Yes,Capital Strategy Management Company,,No,evb@capitalstrategymanagement.com,233 South Wacker Drive,,Chicago,13,60606-0334,5/14/13 14:33,11/17/14 16:03,0000-00-00 00:00:00,26,Capital Strategy Management Company,,41.8788515,-87.6364782,Eric E. von Bauer,312-444-1170,http://capitalstrategymanagement.com/,,"<p>Capital Strategy serves a wide range of early stage high and medium technology industries as well as service firms, with capital for start-up, expansion, or repositioning, as well as strategic and financial advisory expertise. Our portfolio companies and clients are throughout the United States, with a concentration in the upper Midwest. The firm typically forms an advisory team to work with each portfolio company / client in conjunction with providing required capital infusions. The firm's equity focus is long-term in nature, rather than seeking early exits. The firm also maintains an active presence in the venture capital and investment community.</p>",,,,,Capital Strategy Management Company,IL,No,,Venture Capital,,,,,,IT/Digital/Web-Mobile,,"----------------------------------------------
Resource Claimed
2013-06-28 17:22:47
Eric von Bauer --> http://www.illinoisinnovation.com/mightysite/edit_record.php?tablename=mc_account&id=41
----------------------------------------------
",template.php,default.css,,,
11,1,,No,CapX Partners,filebin/capX.png,No,,155 N Wacker Dr.,,Chicago,13,60606,5/14/13 14:33,12/4/14 9:11,0000-00-00 00:00:00,26,CapX Partners,# 1760,41.8846204,-87.6365384,,312-893-7400,http://www.capxpartners.com/,,"<p>We are a vital option for middle-market companies, private equity sponsored and venture-capital-backed firms that need equipment leasing, loans and secured capital for mission-critical initiatives. These clients turn to us as a sophisticated partner who looks beyond the boundaries of traditional financing options. They know we take the time to understand the whole story and create opportunities to keep the project moving forward.</p>",,,,,CapX Partners,IL,No,,"Venture Capital,Private Equity",,Research Equipment,,,,Manufacturing,,,template.php,default.css,,,
12,1,807ce9263d2bba6668ac72ed043f540f86ac596c,Yes,Central Illinois Angels ,/filebin/uploads/807ce9263d2bba6668ac72ed043f540f86ac596c/12.jpg,No,kmccoy@centralillinoisangels.com,4300 Entec Dr.,,Peoria,13,61607,5/14/13 14:33,7/9/13 10:32,0000-00-00 00:00:00,26,Central Illinois Angels ,,40.6372267,-89.6621218,Kip McCoy,309-696-9881,http://www.centralillinoisangels.com/,,"<p>Central Illinois Angels is a membership-based angel investment organization composed of business leaders and professionals in Central Illinois. Central Illinois Angels was launched in 2009 as an angel investment organization focused on providing equity to opportunities that show a promise of significant return to its members. Since inception, the CIA has invested over 4.1 million dollars in our portfolio companies.</p>",,,,,Central Illinois Angels ,IL,No,,Angel Investment,,,,,,"Clean Tech/Alternative Energy, Food/Agriculture, IT/Digital/Web-Mobile, Manufacturing, Biotech and Life Sciences, Healthcare and Medical Devices, Nanotechnology, Transportation/Logistics, Social/Impact Venture, Telecommunications",X,"----------------------------------------------
Resource Claimed
2013-07-01 12:46:56
Kip McCoy --> http://www.illinoisinnovation.com/mightysite/edit_record.php?tablename=mc_account&id=45
----------------------------------------------
",template.php,default.css,,,CIA
