name,kind,address,phone,website,lat,lng,latlng
South Side,neighborhood,"South Side, Chicago, IL, USA",,,41.77665409999999,-87.658113,"(-87.658113,-87.658113)"
United Center,stadium,"1901 West Madison Street, Chicago, IL 60612, United States",(312) 455-4500,http://www.unitedcenter.com/,41.880691,-87.674176,"(-87.674176,-87.674176)"
The Field Museum,museum,"1400 South Lake Shore Drive, Chicago, IL 60605, United States",(312) 922-9410,http://www.fieldmuseum.org/,41.866261,-87.61698,"(-87.61698,-87.61698)"
Illinois Institute of Technology,university,"3300 South Federal Street, Chicago, IL 60616, United States",(312) 567-3000,http://www.iit.edu/,41.834873,-87.627006,"(-87.627006,-87.627006)"
The Art Institute of Chicago,museum,"111 South Michigan Avenue, Chicago, IL 60603, United States",(312) 443-3600,http://www.artic.edu/,41.879584,-87.623713,"(-87.623713,-87.623713)"
Chicago Public Library: Harold Washington Library Center,library,"400 South State Street, Chicago, IL 60605, United States",(312) 747-4300,http://www.chipublib.org/branch/details/library/harold-washington/,41.876297,-87.628228,"(-87.628228,-87.628228)"
Shedd Aquarium,aquarium,"1200 South Lake Shore Drive, Chicago, IL 60605, United States",(312) 939-2438,http://www.sheddaquarium.org/,41.867573,-87.614038,"(-87.614038,-87.614038)"
Soldier Field,stadium,"1410 Museum Campus Drive, Chicago, IL 60605, United States",(312) 235-7000,http://www.soldierfield.net/,41.862313,-87.616688,"(-87.616688,-87.616688)"
The Chicago Theatre,establishment,"175 North State Street, Chicago, IL 60601, United States",(312) 462-6300,http://www.thechicagotheatre.com/,41.8854,-87.627074,"(-87.627074,-87.627074)"
Adler Planetarium,establishment,"1300 South Lake Shore Drive, Chicago, IL 60605, United States",(312) 922-7827,http://www.adlerplanetarium.org/,41.866333,-87.606783,"(-87.606783,-87.606783)"
Wrigley Field,stadium,"1060 West Addison Street, Chicago, IL 60613, United States",(773) 404-2827,http://chicago.cubs.mlb.com/,41.948438,-87.655333,"(-87.655333,-87.655333)"
Lincoln Park,park,"500-5700 North Lake Shore Drive, Chicago, IL 60614, United States",(312) 742-7726,http://www.chicagoparkdistrict.com/parks/lincoln-park/,41.928207,-87.635705,"(-87.635705,-87.635705)"
Lincoln Park Zoo,zoo,"2001 North Clark Street, Chicago, IL 60614, United States",(312) 742-2000,http://www.lpzoo.org/,41.92089,-87.632917,"(-87.632917,-87.632917)"
Millennium Park,park,"201 East Randolph Street, Chicago, IL 60602, United States",(312) 742-1168,http://www.cityofchicago.org/city/en/depts/dca/supp_info/millennium_park.html,41.882552,-87.622551,"(-87.622551,-87.622551)"
Northeastern Illinois University,university,"5500 North Saint Louis Avenue, Chicago, IL 60625, United States",(773) 583-4050,http://www.neiu.edu/,41.980979,-87.719092,"(-87.719092,-87.719092)"
Chicago State University,university,"9501 South King Drive, Chicago, IL 60628, United States",(773) 995-2000,http://www.csu.edu/,41.718485,-87.611232,"(-87.611232,-87.611232)"
Frontera Grill,night_club,"445 North Clark Street, Chicago, IL 60654, United States",(312) 661-1434,http://www.rickbayless.com/restaurants/grill.html,41.89048,-87.630903,"(-87.630903,-87.630903)"
Hotel Burnham Chicago,lodging,"1 West Washington Street, Chicago, IL 60602, United States",(312) 782-1111,http://goo.gl/TLaSdQ,41.882856,-87.628485,"(-87.628485,-87.628485)"
Columbia College Chicago,establishment,"600 South Michigan Avenue, Chicago, IL 60605, United States",(312) 369-1000,http://colum.edu/,41.87414,-87.624461,"(-87.624461,-87.624461)"
Chicago,locality,"Chicago, IL, USA",,,41.8781136,-87.6297982,"(-87.6297982,-87.6297982)"
